"prolific_id","acc_chasing_30"
"6150b1ab531874be26425a70","75%"
"6151a560fca061c58676693e","91%"
"6152c8dec5e715fe8a9e89b4","88%"
"6154852ab89835a5eb9c4e66","69%"
"6154d702c164d49259d6cc20","88%"
"61575baae7886f5555dbbb6b","81%"
"615ad3c92746f5417001bfc4","88%"
"615ae3c2462dcbab1d3af8d3","50%"
"615e8cae688ae33fe6406d83","84%"
"615f22d7b074765f50e937da","69%"
"615f388ccc257e70552d9b2e","94%"
"615f3ab4e6ab2fd0451875db","62%"
"615f480bea322c274ab65073","78%"
"616175dbc12b4681198a540f","50%"
"616323b9520ffc74cfc92c4e","50%"
"616362561686865ed3927d00","91%"
"6163b7cb7fff1e68acfddfab","88%"
"6163c84b2ac5757cbed5c68a","62%"
"61645fccc9e03464d67350e7","84%"
"61651678b1e8cb5079ebe9d2","97%"
"61687f084dd0608f43a02d0e","97%"
"6169262c8dd60e7f3216c016","38%"
"616d50472a9af48a47847e01","78%"
"617118971b29a7f27b2baec5","84%"
"6171aa5fff416f8783493856","88%"
"62a7383cd8923ffcc123f607","50%"
