"prolific_id","acc_chasing_5"
"558fa9dffdf99b7ce2924662","94%"
"59402f40e9b44100013b1789","91%"
"594fa525f61b8e00016af178","59%"
"59664cebaf78da0001a22b4a","91%"
"5acb55010527ba0001c25592","100%"
"5b06ebe96f73510001fdb40e","91%"
"5bc4784e85214800017d8c1a","100%"
"5bca705b3d893f0001bf027d","88%"
"5bd781291fd7c80001bb1fad","97%"
"5bed50471f9cac0001734381","97%"
"5c04e3a04e1b7b00016ad9a3","91%"
"5c1550c32b16ba0001c95536","91%"
"5c2e15a5da51990001e446e0","91%"
"5c3f8bdf342ae0000111a3e1","75%"
"5c4318404d76b1000173d466","100%"
"5c549c6372fd9000018b5968","94%"
"5c716c2a7019c80001f35d9c","91%"
"5c71b17c891e3200012477a2","100%"
"5c90f5eae2d9fb0011385c58","97%"
"5ccff7a28c978d00177c5a71","97%"
"5ce47ee4209b8a00166e39ca","84%"
"5d25fd6e062efa0001833f04","100%"
"5d678b1609288100014849e8","100%"
"5d6bc6e499cd42001855fdf1","100%"
"5d77bc0a4503c30001c724b8","94%"
"5d7a275ae1980f0018725396","84%"
"5d891cd0a592de000185ca5b","81%"
"5db20e14aa1295000bd72015","94%"
"5def67a45c91a4000ef4739c","91%"
"5e45ad5adb671e0952ec6b86","97%"
"5e4940cc4cc99d3ad7baa236","91%"
"5e820827a0271f9119616fb8","91%"
"5e8783b0fde5153fbd9dca43","91%"
"5e9774d2837b810ebe32666e","97%"
"5e99da3ea467ef04d870e7a9","72%"
"5ea1965fc546e204bb568292","88%"
"5ea35bb82788e52de5e56b85","91%"
"5ea5ce7be9fb245c8d7deded","97%"
"5ea967689a2c7e0580282cca","97%"
"5eb28a3b9d99fc3dfffe4666","100%"
"5ebd3bbcecfc7d00085d0f9e","94%"
"5ec57530f348315719a6777f","97%"
"5ecc7b15ce3f4185e01acd04","88%"
"5ecd36c112aedc06518bd20a","91%"
"5ed2c4fe85676325a891de20","100%"
"5ed896a6b9f9f63aa5a75bc7","91%"
"5ede13094e77400127b0d8ac","94%"
"5eeb9d68ce7e763425ce2a8a","97%"
"5ef4860d22eb1d04bbcd9586","91%"
"5ef67612126bfa36576e1b03","97%"
"5f011910f1a82a26078ed6dd","97%"
"5f0214e58782120a8c970fd6","97%"
"5f338ba6ea047119dbd6e49e","100%"
"5f4155308b19382e4374df9f","97%"
"5f454ee36eaa951147ea3cb4","97%"
"5f4e7c5027d2a00631b19618","75%"
"5f4ec827c4909710bd484f3d","97%"
"5f563f5b79ddd10221fc7452","84%"
"5f578563765fec223eb51594","84%"
"5f5929c79792911399444356","84%"
"5f5b5881b17fa72756b8ff2a","53%"
"5f5c6c1652a92144dd9200ab","84%"
"5f7f239e9b204e05b6c36538","88%"
"5f9fcdb126b31261ba2364d8","59%"
"5fa15b45d6bf96229b16ca26","100%"
"5fa2778b2a444243cc61d9d8","50%"
"5fcca076e2e6deaf9f1055d7","97%"
"600590fcb602617e4e62e8c8","97%"
"60087f89ba0c184c6d305af9","88%"
"6010601cc932aa3661b459ec","94%"
"60113374795b0d000a98b896","47%"
"601575a1d735b36214c75f67","50%"
"601beff593007e61bdbdbdfc","100%"
"601dce9614595f204440da8f","94%"
"602d84ab3b8daf7e896ab146","81%"
"603235aece008c1eeab094fc","94%"
