"prolific_id","acc_wolf_sheep_30"
"558fa9dffdf99b7ce2924662","81%"
"59402f40e9b44100013b1789","81%"
"594fa525f61b8e00016af178","44%"
"59664cebaf78da0001a22b4a","62%"
"5acb55010527ba0001c25592","69%"
"5b06ebe96f73510001fdb40e","75%"
"5bc4784e85214800017d8c1a","81%"
"5bca705b3d893f0001bf027d","81%"
"5bd781291fd7c80001bb1fad","81%"
"5bed50471f9cac0001734381","81%"
"5c04e3a04e1b7b00016ad9a3","75%"
"5c1550c32b16ba0001c95536","81%"
"5c2e15a5da51990001e446e0","69%"
"5c3f8bdf342ae0000111a3e1","50%"
"5c4318404d76b1000173d466","75%"
"5c549c6372fd9000018b5968","75%"
"5c716c2a7019c80001f35d9c","75%"
"5c71b17c891e3200012477a2","62%"
"5c90f5eae2d9fb0011385c58","81%"
"5ccff7a28c978d00177c5a71","81%"
"5ce47ee4209b8a00166e39ca","31%"
"5d25fd6e062efa0001833f04","81%"
"5d678b1609288100014849e8","81%"
"5d6bc6e499cd42001855fdf1","75%"
"5d77bc0a4503c30001c724b8","69%"
"5d7a275ae1980f0018725396","62%"
"5d891cd0a592de000185ca5b","44%"
"5db20e14aa1295000bd72015","56%"
"5def67a45c91a4000ef4739c","88%"
"5e45ad5adb671e0952ec6b86","88%"
"5e4940cc4cc99d3ad7baa236","44%"
"5e820827a0271f9119616fb8","44%"
"5e8783b0fde5153fbd9dca43","69%"
"5e9774d2837b810ebe32666e","88%"
"5e99da3ea467ef04d870e7a9","62%"
"5ea1965fc546e204bb568292","75%"
"5ea35bb82788e52de5e56b85","81%"
"5ea5ce7be9fb245c8d7deded","69%"
"5ea967689a2c7e0580282cca","88%"
"5eb28a3b9d99fc3dfffe4666","75%"
"5ebd3bbcecfc7d00085d0f9e","62%"
"5ec57530f348315719a6777f","75%"
"5ecc7b15ce3f4185e01acd04","56%"
"5ecd36c112aedc06518bd20a","56%"
"5ed2c4fe85676325a891de20","69%"
"5ed896a6b9f9f63aa5a75bc7","69%"
"5ede13094e77400127b0d8ac","62%"
"5eeb9d68ce7e763425ce2a8a","62%"
"5ef4860d22eb1d04bbcd9586","56%"
"5ef67612126bfa36576e1b03","75%"
"5f011910f1a82a26078ed6dd","88%"
"5f0214e58782120a8c970fd6","88%"
"5f338ba6ea047119dbd6e49e","100%"
"5f4155308b19382e4374df9f","81%"
"5f454ee36eaa951147ea3cb4","81%"
"5f4e7c5027d2a00631b19618","38%"
"5f4ec827c4909710bd484f3d","88%"
"5f563f5b79ddd10221fc7452","44%"
"5f578563765fec223eb51594","38%"
"5f5929c79792911399444356","50%"
"5f5b5881b17fa72756b8ff2a","12%"
"5f5c6c1652a92144dd9200ab","81%"
"5f7f239e9b204e05b6c36538","62%"
"5f9fcdb126b31261ba2364d8","31%"
"5fa15b45d6bf96229b16ca26","81%"
"5fa2778b2a444243cc61d9d8","50%"
"5fcca076e2e6deaf9f1055d7","69%"
"600590fcb602617e4e62e8c8","75%"
"60087f89ba0c184c6d305af9","81%"
"6010601cc932aa3661b459ec","75%"
"60113374795b0d000a98b896","0%"
"601575a1d735b36214c75f67","0%"
"601beff593007e61bdbdbdfc","69%"
"601dce9614595f204440da8f","75%"
"602d84ab3b8daf7e896ab146","50%"
"603235aece008c1eeab094fc","56%"
