prolific_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
558fa9dffdf99b7ce2924662,13,2,3,14,1.869923486,1.237989285,0.907967033,0.164179104,0.114169655
59402f40e9b44100013b1789,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
594fa525f61b8e00016af178,9,3,7,13,0.968779198,1.385276466,0.782051282,0.235294118,0.336402489
59664cebaf78da0001a22b4a,10,2,6,14,1.348438308,1.657890534,0.842857143,0.363636364,0.374912244
5acb55010527ba0001c25592,11,0,5,16,2.347361891,5.367218208,0.921875,1,0.715829015
5b06ebe96f73510001fdb40e,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
5bc4784e85214800017d8c1a,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
5bca705b3d893f0001bf027d,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5bd781291fd7c80001bb1fad,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
5bed50471f9cac0001734381,12,0,4,16,2.518414178,4.89083814,0.9375,1,0.630302871
5c04e3a04e1b7b00016ad9a3,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5c1550c32b16ba0001c95536,15,1,1,15,2.70340448,1,0.966666667,0,0
5c2e15a5da51990001e446e0,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5c3f8bdf342ae0000111a3e1,9,1,7,15,1.49968935,2.466004872,0.855555556,0.615384615,0.601857565
5c4318404d76b1000173d466,14,3,2,13,1.869923486,0.807761434,0.907967033,-0.164179104,-0.114169655
5c549c6372fd9000018b5968,12,0,4,16,2.518414178,4.89083814,0.9375,1,0.630302871
5c716c2a7019c80001f35d9c,12,1,4,15,1.980606458,2.045800622,0.9125,0.523809524,0.361399011
5c71b17c891e3200012477a2,10,0,6,16,2.188816871,5.699233156,0.90625,1,0.795101525
5c90f5eae2d9fb0011385c58,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5ccff7a28c978d00177c5a71,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5ce47ee4209b8a00166e39ca,5,0,11,16,1.431658029,5.367218208,0.828125,1,1.173680946
5d25fd6e062efa0001833f04,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
5d678b1609288100014849e8,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
5d6bc6e499cd42001855fdf1,12,0,4,16,2.518414178,4.89083814,0.9375,1,0.630302871
5d77bc0a4503c30001c724b8,11,0,5,16,2.347361891,5.367218208,0.921875,1,0.715829015
5d7a275ae1980f0018725396,11,1,5,15,1.809554171,2.245066804,0.893939394,0.571428571,0.446925154
5d891cd0a592de000185ca5b,8,0,8,16,1.88950996,5.960318654,0.875,1,0.94475498
5db20e14aa1295000bd72015,9,0,7,16,2.03749707,5.895408648,0.890625,1,0.870761425
5def67a45c91a4000ef4739c,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
