prolific_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
5f7f239e9b204e05b6c36538,15,3,1,13,2.172494328,0.561749282,0.930769231,0.302325581,-0.265455076
5f9fcdb126b31261ba2364d8,11,8,5,8,0.457851931,0.900491823,0.661931818,1,-0.228925966
5fa15b45d6bf96229b16ca26,16,0,0,16,3.779019921,1,1,-0.444444444,3.33E-16
5fa2778b2a444243cc61d9d8,16,16,0,0,0,1,NA,-0.444444444,-1.88950996
5fcca076e2e6deaf9f1055d7,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
600590fcb602617e4e62e8c8,15,0,1,16,3.2412122,2.390671939,0.984375,0.302325581,0.26890386
60087f89ba0c184c6d305af9,14,2,2,14,2.098262796,1,0.928571429,1,0
6010601cc932aa3661b459ec,15,1,1,15,2.70340448,1,0.966666667,1,0
60113374795b0d000a98b896,7,8,9,8,-0.14798711,0.989109642,0.440972222,-1,0.073993555
601575a1d735b36214c75f67,0,0,16,16,0,1,NA,1,1.88950996
601beff593007e61bdbdbdfc,16,0,0,16,3.779019921,1,1,-0.263157895,3.33E-16
601dce9614595f204440da8f,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
602d84ab3b8daf7e896ab146,15,5,1,11,1.809554171,0.445421044,0.893939394,-0.164179104,-0.446925154
603235aece008c1eeab094fc,14,0,2,16,2.938641358,3.437641411,0.96875,-1,0.420189281
604078ce258745279c0a0fed,14,1,2,15,2.400833638,1.437939416,0.948809524,-0.444444444,0.151285421
60407c013b795828d5280016,15,0,1,16,3.2412122,2.390671939,0.984375,0.302325581,0.26890386
604b528b95d6d998726f0bd9,15,3,1,13,2.172494328,0.561749282,0.930769231,-0.263157895,-0.265455076
60571cc4ed2b0367b3e273b8,16,0,0,16,3.779019921,1,1,1,3.33E-16
605b838b80f022835fc293fb,15,13,1,3,0.530910152,0.561749282,0.7,-0.032258065,-1.086247164
60725a51a6e4cf1831918847,4,0,12,16,1.260605743,4.89083814,0.8125,-0.135135135,1.259207089
607477e95809f0c7fdc4d1f3,16,0,0,16,3.779019921,1,1,1,3.33E-16
607583e0c86113a48cbdc1e2,14,1,2,15,2.400833638,1.437939416,0.948809524,0.263157895,0.151285421
6075f686075b047b4912896f,0,0,16,16,0,1,NA,1,1.88950996
60814ca10e453404aed130ea,12,0,4,16,2.518414178,4.89083814,0.9375,-1,0.630302871
608930a9d426b23a7b53c710,15,0,1,16,3.2412122,2.390671939,0.984375,-0.024390244,0.26890386
6099331dd68e8681d2c562ca,12,0,4,16,2.518414178,4.89083814,0.9375,1,0.630302871
609ae18d591adde470e996cc,15,0,1,16,3.2412122,2.390671939,0.984375,0,0.26890386
609d1db6e6624a23a8f99f0d,14,12,2,4,0.42022718,0.702873682,0.660714286,1,-0.839017808
60c1ea75ebea3c2153bb14fa,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
60ca1c436511b9fc8ab35615,16,0,0,16,3.779019921,1,1,-1,3.33E-16
60ccf2ea70e16324c450f531,16,2,0,14,2.938641358,0.290897124,0.96875,1,-0.420189281
60d0913db036105dac42f0cc,15,3,1,13,2.172494328,0.561749282,0.930769231,0.164179104,-0.265455076
60dae077e62179eb469e32a4,14,1,2,15,2.400833638,1.437939416,0.948809524,0,0.151285421
60db74fcb5f4526ce90594a1,14,4,2,12,1.678035616,0.702873682,0.886904762,0.06779661,-0.21011359
60e343a81a1fccbf93aa26e7,0,0,16,16,0,1,NA,-0.302325581,1.88950996
60e9c7d6324bb82ccb1357e4,15,0,1,16,3.2412122,2.390671939,0.984375,0.263157895,0.26890386
60ed422f77c903379187954a,6,8,10,8,-0.29930691,0.95619605,0.3875,-1,0.149653455
60ed8d47a42dc5469f868b2a,12,7,4,9,0.776891327,0.829601209,0.743055556,1,-0.240458554
60ef2e52a188d9859f92bb58,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
60f447a41f39e3b469f68f1e,12,2,4,14,1.678035616,1.422730749,0.886904762,-0.043478261,0.21011359
60f55467b3c1a738550ccd27,13,0,3,16,2.710302049,4.255763232,0.953125,0.103448276,0.534358936
60f958dea810a7a0cf3d14d9,0,0,16,16,0,1,NA,1,1.88950996
60faab6f9d9a835ba3b8327f,16,1,0,15,3.2412122,0.418292441,0.984375,0.615384615,-0.26890386
60fbf828aa685c5d5fdc8dab,6,7,10,9,-0.151319801,0.966724021,0.439285714,0.363636364,0.22364701
60fd6891508b1a5f090f6337,12,0,4,16,2.518414178,4.89083814,0.9375,0.103448276,0.630302871
60ff9740c0716986284c41b3,15,1,1,15,2.70340448,1,0.966666667,0.06779661,0
6102db96d41a4bf54acd678b,13,0,3,16,2.710302049,4.255763232,0.953125,1,0.534358936
610510ea2417b82e9a9b546c,12,0,4,16,2.518414178,4.89083814,0.9375,0,0.630302871
61086c2bfda98ba5d75b9db4,16,2,0,14,2.938641358,0.290897124,0.96875,1,-0.420189281
6109262ae67d0b1d5ae85544,16,1,0,15,3.2412122,0.418292441,0.984375,-0.444444444,-0.26890386
6109b425508d9c8b84947e28,5,0,11,16,1.431658029,5.367218208,0.828125,0.523809524,1.173680946
6113e818f20ae6af8f92fc59,13,2,3,14,1.869923486,1.237989285,0.907967033,0.523809524,0.114169655
61155c65e2f4511fd06bab01,11,5,5,11,0.915703862,1,0.772727273,-0.111111111,-5.55E-17
611cf79541223a8ee170a30f,9,11,7,5,-0.309864821,1.098410465,0.383116883,0.302325581,-0.30291952
611d0249e8393016043b13c5,15,2,1,14,2.400833638,0.695439591,0.948809524,-1,-0.151285421
611d1134bcc4eda812acf219,12,2,4,14,1.678035616,1.422730749,0.886904762,-0.043478261,0.21011359
611d3a09fcbb58f515c4bd0d,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
611e662627fe84ce145a07cc,15,0,1,16,3.2412122,2.390671939,0.984375,1,0.26890386
611e69199102a9ea07155a4e,14,0,2,16,2.938641358,3.437641411,0.96875,1,0.420189281
611e8fbfd3f7c080df933947,11,6,5,10,0.757158841,0.941743926,0.738636364,1,-0.07927251
611ea1a15dbc12b56d64fd22,4,3,12,13,0.191887871,1.14922703,0.581730769,1,0.724848153
611f5fca1c852d6d56e5bf8d,9,0,7,16,2.03749707,5.895408648,0.890625,1,0.870761425
61216c57c465b4c0b056f277,0,0,16,16,0,1,NA,-0.444444444,1.88950996
612364605c7b6d1e7ba7b4f3,7,1,9,15,1.20371513,2.466004872,0.814285714,-0.444444444,0.749844675
6124ce846b7b3c7bab41bbb5,14,6,2,10,1.348438308,0.603176132,0.842857143,1,-0.374912244
612501bc1d444bcf3be30902,12,3,4,13,1.449696306,1.14922703,0.860576923,0.444444444,0.095943935
61274c5d48457b27bb106961,9,11,7,5,-0.309864821,1.098410465,0.383116883,-1,-0.30291952
6128b6f850d39bf85a29211e,15,0,1,16,3.2412122,2.390671939,0.984375,0.444444444,0.26890386
6128bd8212d9c49351e1c453,15,1,1,15,2.70340448,1,0.966666667,0.523809524,0
612a27c64944d23ec0408cd2,12,0,4,16,2.518414178,4.89083814,0.9375,-0.164179104,0.630302871
612cb8236aa1cef2599e6f59,15,3,1,13,2.172494328,0.561749282,0.930769231,1,-0.265455076
612fd3da400557b971d45724,12,1,4,15,1.980606458,2.045800622,0.9125,1,0.361399011
6130cabbaf487a833fd4aebd,12,1,4,15,1.980606458,2.045800622,0.9125,1,0.361399011
6131da4d35598b1a6f36cb37,0,0,16,16,0,1,NA,0.103448276,1.88950996
61320a26c3013321c8d54600,4,6,12,10,-0.329597307,0.85815723,0.375,1,0.464105564
613281db9a635b97959e1751,15,2,1,14,2.400833638,0.695439591,0.948809524,1,-0.151285421
61350dca290dfe0321442542,16,1,0,15,3.2412122,0.418292441,0.984375,1,-0.26890386
6137664fb23c5175515fa573,11,10,5,6,0.158545021,0.941743926,0.564393939,-0.523809524,-0.378579421
6137b173cb7545edf5e05406,12,0,4,16,2.518414178,4.89083814,0.9375,-1,0.630302871
613a8ef5d9b1e9edad809487,15,0,1,16,3.2412122,2.390671939,0.984375,0,0.26890386
61403ccaf15c48625b82ec6b,0,0,16,16,0,1,NA,0.444444444,1.88950996
61419f660a2296e74b6817f5,9,0,7,16,2.03749707,5.895408648,0.890625,-0.032258065,0.870761425
6142589393c9f8b38086f20f,11,0,5,16,2.347361891,5.367218208,0.921875,0.263157895,0.715829015
61436594450b2f391b63b5ce,16,0,0,16,3.779019921,1,1,1,3.33E-16
614b126d78333df3905cfce8,16,0,0,16,3.779019921,1,1,1,3.33E-16
614df2dea090283ef5a09be2,14,0,2,16,2.938641358,3.437641411,0.96875,NA,0.420189281
614dfeeecc516a80b2025a7d,16,0,0,16,3.779019921,1,1,NA,3.33E-16
6150b1ab531874be26425a70,15,3,1,13,2.172494328,0.561749282,0.930769231,NA,-0.265455076
6151a560fca061c58676693e,15,3,1,13,2.172494328,0.561749282,0.930769231,NA,-0.265455076
6152c8dec5e715fe8a9e89b4,14,0,2,16,2.938641358,3.437641411,0.96875,NA,0.420189281
6154852ab89835a5eb9c4e66,3,1,13,15,0.530910152,1.780153589,0.7,NA,1.086247164
6154d702c164d49259d6cc20,14,0,2,16,2.938641358,3.437641411,0.96875,NA,0.420189281
61575baae7886f5555dbbb6b,13,1,3,15,2.172494328,1.780153589,0.930769231,NA,0.265455076
615ad3c92746f5417001bfc4,12,1,4,15,1.980606458,2.045800622,0.9125,NA,0.361399011
615ae3c2462dcbab1d3af8d3,0,0,16,16,0,1,NA,NA,1.88950996
615e8cae688ae33fe6406d83,14,3,2,13,1.869923486,0.807761434,0.907967033,NA,-0.114169655
615f22d7b074765f50e937da,15,0,1,16,3.2412122,2.390671939,0.984375,NA,0.26890386
615f388ccc257e70552d9b2e,13,0,3,16,2.710302049,4.255763232,0.953125,NA,0.534358936
615f3ab4e6ab2fd0451875db,12,0,4,16,2.518414178,4.89083814,0.9375,NA,0.630302871
615f480bea322c274ab65073,12,3,4,13,1.449696306,1.14922703,0.860576923,NA,0.095943935
616175dbc12b4681198a540f,0,0,16,16,0,1,NA,NA,1.88950996
