response_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
115,32,9,16,39,1.28508693,1.32869836,0.827123397,-0.073028238,0.221152188
135,35,4,13,44,1.925760872,2.026028889,0.897564935,0.118881119,0.366648671
142,35,2,13,46,2.231271031,3.186523605,0.915062112,1,0.519403751
43,35,3,13,45,2.061465557,2.44907126,0.906349206,0.214723926,0.434501014
14,36,0,12,48,2.977277922,11.84013464,0.9375,-0.116504854,0.83011901
132,34,19,14,29,0.794809333,0.895568146,0.739604462,0.174193548,-0.1387716
29,8,6,40,42,0.173393575,1.194964992,0.574404762,-0.019567456,1.027240428
108,21,0,27,48,2.164683504,14.53340501,0.859375,0.442155309,1.236416219
151,0,0,48,48,0,1,NA,0.421052632,2.318757971
3,15,8,33,40,0.462547654,1.38828766,0.660416667,0.848142165,0.709269814
152,35,25,13,23,0.545053753,0.838251953,0.680124224,-0.085714286,-0.323704888
116,35,8,13,40,1.536775405,1.302864121,0.861607143,0.379310345,0.172155938
154,34,33,14,15,0.058180279,0.970928535,0.524019608,0.235204856,-0.507086127
123,35,4,13,44,1.925760872,2.026028889,0.897564935,0.00621118,0.366648671
143,36,4,12,44,1.988049058,1.948382538,0.904040404,0.201668985,0.335504578
134,22,1,26,47,1.769380223,5.735631538,0.850338491,0.475728155,0.987180619
130,40,10,8,38,1.732182248,0.879004442,0.884868421,-0.116504854,-0.074452516
82,28,6,20,42,1.320009185,1.820653007,0.827380952,0.842809365,0.453932623
50,37,6,11,42,1.83741279,1.431495363,0.893983269,0.826568266,0.19523082
65,0,0,48,48,0,1,NA,0.848874598,2.318757971
113,21,20,27,28,0.051997503,1.009407331,0.520833333,0.620253165,0.180073218
119,36,7,12,41,1.681912144,1.359125568,0.878218157,1,0.182436121
35,38,3,10,45,2.2568724,2.138509714,0.924707602,0.475728155,0.336797592
12,35,23,13,25,0.647409776,0.838251953,0.705714286,1,-0.272526877
4,29,1,19,47,2.130503798,5.576182959,0.890315481,0.779859485,0.806618832
37,33,1,15,47,2.349866718,5.143377345,0.912637008,0.508379888,0.696937372
22,0,0,48,48,0,1,NA,0.064039409,2.318757971
39,25,1,23,47,1.923048742,5.758289231,0.867659574,-0.054365733,0.91034636
139,24,3,24,45,1.465233793,2.925469655,0.835416667,0.460122699,0.732616896
33,39,0,9,48,3.182453624,10.12830696,0.953125,0.421052632,0.727531159
25,38,3,10,45,2.2568724,2.138509714,0.924707602,0.695364238,0.336797592
104,29,0,19,48,2.577391038,14.22319002,0.901041667,0.460122699,1.030062452
7,38,1,10,47,2.663509339,4.214808569,0.940229563,0.582689335,0.540116062
24,36,10,12,38,1.450158558,1.101333348,0.851608187,0.713841369,0.066559329
16,41,8,7,40,1.963935834,0.92186672,0.907469512,0.803757829,-0.041424276
90,34,4,14,44,1.865705374,2.096105982,0.891042781,0.235294118,0.39667642
170,12,4,36,44,0.671009157,1.948382538,0.712121212,0.450127877,0.994024529
60,32,2,16,46,2.056430544,3.482990967,0.897418478,-1,0.606823995
161,34,4,14,44,1.865705374,2.096105982,0.891042781,1,0.39667642
76,32,3,16,45,1.88662507,2.676927628,0.887673611,0.846905537,0.521921258
153,0,0,48,48,0,1,NA,0.036437247,2.318757971
114,31,5,17,43,1.580782078,1.955608937,0.86084021,-0.277310924,0.424284682
2,29,2,19,46,1.893672334,3.681171965,0.879497751,0.610169492,0.6882031
91,36,1,12,47,2.530390681,4.641909231,0.929225768,0.695364238,0.60667539
103,27,9,21,39,1.01777012,1.434929358,0.782051282,0.022182786,0.354810593
177,27,5,21,43,1.368750188,2.066484974,0.83161068,0.615384615,0.530300627
146,0,0,48,48,0,1,NA,0.848874598,2.318757971
28,0,1,48,47,-0.44688724,0.392048686,0.244791667,-0.836236934,2.095314351
42,31,0,17,48,2.684864328,13.75362371,0.911458333,NA,0.976325807
148,27,1,21,47,2.025945198,5.697802339,0.879038613,NA,0.858898132
8,32,14,16,34,0.957567543,1.056495385,0.772977941,NA,0.057392495
109,43,10,5,38,2.006314329,0.654180016,0.908965728,NA,-0.211518557
51,38,2,10,46,2.426677875,2.782447287,0.932494279,NA,0.42170033
162,32,2,16,46,2.056430544,3.482990967,0.897418478,NA,0.606823995
40,24,29,24,19,-0.258633067,1.034011121,0.404813218,NA,-0.129316533
157,27,3,21,45,1.619308259,2.890951142,0.855555556,NA,0.655579663
71,25,1,23,47,1.923048742,5.758289231,0.867659574,NA,0.91034636
112,31,1,17,47,2.237977088,5.392090105,0.901509952,NA,0.752882187
163,0,0,48,48,0,1,NA,NA,2.318757971
