"prolific_id","acc_wolf_sheep_60"
"558fa9dffdf99b7ce2924662","19%"
"59402f40e9b44100013b1789","19%"
"594fa525f61b8e00016af178","38%"
"59664cebaf78da0001a22b4a","50%"
"5acb55010527ba0001c25592","44%"
"5b06ebe96f73510001fdb40e","19%"
"5bc4784e85214800017d8c1a","44%"
"5bca705b3d893f0001bf027d","44%"
"5bd781291fd7c80001bb1fad","75%"
"5bed50471f9cac0001734381","56%"
"5c04e3a04e1b7b00016ad9a3","38%"
"5c1550c32b16ba0001c95536","44%"
"5c2e15a5da51990001e446e0","19%"
"5c3f8bdf342ae0000111a3e1","19%"
"5c4318404d76b1000173d466","50%"
"5c549c6372fd9000018b5968","38%"
"5c716c2a7019c80001f35d9c","62%"
"5c71b17c891e3200012477a2","31%"
"5c90f5eae2d9fb0011385c58","38%"
"5ccff7a28c978d00177c5a71","69%"
"5ce47ee4209b8a00166e39ca","6%"
"5d25fd6e062efa0001833f04","25%"
"5d678b1609288100014849e8","38%"
"5d6bc6e499cd42001855fdf1","31%"
"5d77bc0a4503c30001c724b8","31%"
"5d7a275ae1980f0018725396","56%"
"5d891cd0a592de000185ca5b","12%"
"5db20e14aa1295000bd72015","19%"
"5def67a45c91a4000ef4739c","38%"
"5e45ad5adb671e0952ec6b86","50%"
"5e4940cc4cc99d3ad7baa236","38%"
"5e820827a0271f9119616fb8","25%"
"5e8783b0fde5153fbd9dca43","44%"
"5e9774d2837b810ebe32666e","56%"
"5e99da3ea467ef04d870e7a9","38%"
"5ea1965fc546e204bb568292","38%"
"5ea35bb82788e52de5e56b85","38%"
"5ea5ce7be9fb245c8d7deded","6%"
"5ea967689a2c7e0580282cca","44%"
"5eb28a3b9d99fc3dfffe4666","25%"
"5ebd3bbcecfc7d00085d0f9e","25%"
"5ec57530f348315719a6777f","31%"
"5ecc7b15ce3f4185e01acd04","50%"
"5ecd36c112aedc06518bd20a","62%"
"5ed2c4fe85676325a891de20","62%"
"5ed896a6b9f9f63aa5a75bc7","25%"
"5ede13094e77400127b0d8ac","56%"
"5eeb9d68ce7e763425ce2a8a","75%"
"5ef4860d22eb1d04bbcd9586","31%"
"5ef67612126bfa36576e1b03","56%"
"5f011910f1a82a26078ed6dd","56%"
"5f0214e58782120a8c970fd6","56%"
"5f338ba6ea047119dbd6e49e","19%"
"5f4155308b19382e4374df9f","38%"
"5f454ee36eaa951147ea3cb4","38%"
"5f4e7c5027d2a00631b19618","31%"
"5f4ec827c4909710bd484f3d","38%"
"5f563f5b79ddd10221fc7452","31%"
"5f578563765fec223eb51594","25%"
"5f5929c79792911399444356","25%"
"5f5b5881b17fa72756b8ff2a","6%"
"5f5c6c1652a92144dd9200ab","50%"
"5f7f239e9b204e05b6c36538","56%"
"5f9fcdb126b31261ba2364d8","31%"
"5fa15b45d6bf96229b16ca26","62%"
"5fa2778b2a444243cc61d9d8","31%"
"5fcca076e2e6deaf9f1055d7","50%"
"600590fcb602617e4e62e8c8","50%"
"60087f89ba0c184c6d305af9","31%"
"6010601cc932aa3661b459ec","56%"
"60113374795b0d000a98b896","0%"
"601575a1d735b36214c75f67","6%"
"601beff593007e61bdbdbdfc","44%"
"601dce9614595f204440da8f","31%"
"602d84ab3b8daf7e896ab146","19%"
"603235aece008c1eeab094fc","31%"
"604078ce258745279c0a0fed","62%"
"60407c013b795828d5280016","19%"
"604b528b95d6d998726f0bd9","25%"
"60571cc4ed2b0367b3e273b8","62%"
"605b838b80f022835fc293fb","6%"
"60725a51a6e4cf1831918847","12%"
"607477e95809f0c7fdc4d1f3","62%"
"607583e0c86113a48cbdc1e2","56%"
"6075f686075b047b4912896f","6%"
"60814ca10e453404aed130ea","50%"
"608930a9d426b23a7b53c710","44%"
"6099331dd68e8681d2c562ca","62%"
"609ae18d591adde470e996cc","31%"
"609d1db6e6624a23a8f99f0d","0%"
"60c1ea75ebea3c2153bb14fa","44%"
"60ca1c436511b9fc8ab35615","38%"
"60ccf2ea70e16324c450f531","25%"
"60d0913db036105dac42f0cc","38%"
"60dae077e62179eb469e32a4","56%"
"60db74fcb5f4526ce90594a1","12%"
"60e343a81a1fccbf93aa26e7","6%"
"60e9c7d6324bb82ccb1357e4","31%"
"60ed422f77c903379187954a","6%"
"60ed8d47a42dc5469f868b2a","19%"
