"prolific_id","acc_wolf_sheep_60"
"60ef2e52a188d9859f92bb58","44%"
"60f447a41f39e3b469f68f1e","31%"
"60f55467b3c1a738550ccd27","12%"
"60f958dea810a7a0cf3d14d9","6%"
"60faab6f9d9a835ba3b8327f","50%"
"60fbf828aa685c5d5fdc8dab","38%"
"60fd6891508b1a5f090f6337","31%"
"60ff9740c0716986284c41b3","38%"
"6102db96d41a4bf54acd678b","25%"
"610510ea2417b82e9a9b546c","31%"
"61086c2bfda98ba5d75b9db4","31%"
"6109262ae67d0b1d5ae85544","62%"
"6109b425508d9c8b84947e28","44%"
"6113e818f20ae6af8f92fc59","19%"
"61155c65e2f4511fd06bab01","31%"
"611cf79541223a8ee170a30f","19%"
"611d0249e8393016043b13c5","38%"
"611d1134bcc4eda812acf219","56%"
"611d3a09fcbb58f515c4bd0d","50%"
"611e662627fe84ce145a07cc","38%"
"611e69199102a9ea07155a4e","44%"
"611e8fbfd3f7c080df933947","25%"
"611ea1a15dbc12b56d64fd22","6%"
"611f5fca1c852d6d56e5bf8d","19%"
"61216c57c465b4c0b056f277","6%"
"612364605c7b6d1e7ba7b4f3","19%"
"6124ce846b7b3c7bab41bbb5","19%"
"612501bc1d444bcf3be30902","56%"
"61274c5d48457b27bb106961","6%"
"6128b6f850d39bf85a29211e","38%"
"6128bd8212d9c49351e1c453","38%"
"612a27c64944d23ec0408cd2","19%"
"612cb8236aa1cef2599e6f59","62%"
"612fd3da400557b971d45724","31%"
"6130cabbaf487a833fd4aebd","62%"
"6131da4d35598b1a6f36cb37","6%"
"61320a26c3013321c8d54600","12%"
"613281db9a635b97959e1751","38%"
"61350dca290dfe0321442542","50%"
"6137664fb23c5175515fa573","31%"
"6137b173cb7545edf5e05406","44%"
"613a8ef5d9b1e9edad809487","44%"
"61403ccaf15c48625b82ec6b","6%"
"61419f660a2296e74b6817f5","25%"
"6142589393c9f8b38086f20f","31%"
"61436594450b2f391b63b5ce","62%"
"614b126d78333df3905cfce8","44%"
"614df2dea090283ef5a09be2","38%"
"614dfeeecc516a80b2025a7d","50%"
"6150b1ab531874be26425a70","38%"
"6151a560fca061c58676693e","62%"
"6152c8dec5e715fe8a9e89b4","38%"
"6154852ab89835a5eb9c4e66","12%"
"6154d702c164d49259d6cc20","12%"
"61575baae7886f5555dbbb6b","44%"
"615ad3c92746f5417001bfc4","38%"
"615ae3c2462dcbab1d3af8d3","6%"
"615e8cae688ae33fe6406d83","25%"
"615f22d7b074765f50e937da","31%"
"615f388ccc257e70552d9b2e","44%"
"615f3ab4e6ab2fd0451875db","31%"
"615f480bea322c274ab65073","25%"
"616175dbc12b4681198a540f","6%"
"616323b9520ffc74cfc92c4e","6%"
"616362561686865ed3927d00","19%"
"6163b7cb7fff1e68acfddfab","6%"
"6163c84b2ac5757cbed5c68a","38%"
"61645fccc9e03464d67350e7","56%"
"61651678b1e8cb5079ebe9d2","50%"
"61687f084dd0608f43a02d0e","31%"
"6169262c8dd60e7f3216c016","19%"
"616d50472a9af48a47847e01","38%"
"617118971b29a7f27b2baec5","12%"
"6171aa5fff416f8783493856","25%"
"62a7383cd8923ffcc123f607","6%"
